300 train test
4.042848159590036 14.526 14.84
3.4838503620508687 21.03 20.5
3.1274817093558935 26.756 25.01
2.8417896559781126 32.024 29.77
2.611244374223987 34.806 31.82
2.435956815929364 39.694 35.63
2.2824654173668084 42.218 38.01
2.137817696537203 45.422 40.75
2.0126351987004587 47.346 41.09
1.9001771220770638 50.874 44.46
1.7967954075244992 53.408 46.93
1.7060704121504293 55.298 47.43
1.6157642179133032 57.462 48.72
1.5391086748493907 59.702 50.13
1.4647616221166937 61.21 50.32
1.4031183204382582 62.854 53.04
1.3387801634990955 64.056 52.34
1.2830369330733025 66.024 53.68
1.2287344792309929 67.204 54.36
1.1799269071625322 68.488 55.87
1.1272121111450293 69.752 56.9
1.0765781353806596 70.414 57.18
1.0396199650166895 71.66 56.86
1.0007397114773235 73.362 57.12
0.9561650905462787 74.75 56.96
0.9076337818904301 75.57 57.87
0.8765510962442364 76.922 58.33
0.8405058443393854 77.934 58.54
0.8008762665112 78.234 58.17
0.7655124668879887 78.936 58.41
0.7376423160285901 80.508 59.25
0.7056077828492655 80.846 58.92
0.6722023890298956 82.274 59.46
0.6406210979537281 83.054 59.29
0.6160079773582156 84.034 60.74
0.5788003401378231 85.034 60.38
0.5598750432281543 85.624 61.32
0.5268370435975701 86.028 60.76
0.5047540959647244 86.082 60.54
0.4769412311141753 87.444 60.76
0.4606693779568538 88.682 61.06
0.42849955770670606 88.88 60.54
0.41372939601273795 89.826 61.16
0.3909518820855319 89.546 60.85
0.36824073164206944 90.558 61.44
0.34794616119940874 91.718 60.64
0.33366621699174653 91.752 60.15
0.31237512777376053 92.336 60.86
0.296561059477689 92.624 61.32
0.27718142212351876 93.254 61.56
0.2638784842113095 93.796 61.27
0.24131664405088596 94.386 61.75
0.22921197461273968 95.204 62.25
0.21706148183635435 94.956 62.09
0.20598894559666323 95.39 61.95
0.19831638402112609 95.06 61.01
0.18600153038873696 96.104 62.14
0.17704880934999423 95.638 61.74
0.16740252681629128 96.71 61.72
0.15283782989777567 96.998 62.17
0.14486633269759394 97.046 62.23
0.1349628406488682 96.846 62.05
0.13338754480452183 97.372 62.75
0.12147192722734283 97.544 62.18
0.11444832437940876 97.468 62.2
0.10948136572718925 97.96 62.12
0.10961882910117164 97.93 62.5
0.09939361719981483 98.056 62.22
0.09798446251913105 97.862 62.69
0.09158614582722754 98.2 62.33
0.0855380824250181 98.254 62.58
